fare,urlscraped,origcity,datescraped,destlocation,timescraped,origtime,destcity,origlocation,duration,desttime
$6.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.947000,5:55 AM,"Baltimore, MD",Union Station.,1hrs 20mins,7:15 AM
$20.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.948000,8:50 AM,"Baltimore, MD",Union Station.,1hrs 20mins,10:10 AM
$6.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.949000,11:15 AM,"Baltimore, MD",Union Station.,1hrs 20mins,12:35 PM
$15.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.951000,4:15 PM,"Baltimore, MD",Union Station.,1hrs 20mins,5:35 PM
$20.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.952000,6:45 PM,"Baltimore, MD",Union Station.,1hrs 25mins,8:10 PM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.953000,7:25 PM,"Baltimore, MD",Union Station.,1hrs 20mins,8:45 PM
$9.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.954000,8:00 PM,"Baltimore, MD",Union Station.,1hrs 25mins,9:25 PM
$4.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.956000,9:45 PM,"Baltimore, MD",Union Station.,1hrs 20mins,11:05 PM
$4.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=143&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,White Marsh Mall (Opp Red Lobster),21:05:14.957000,10:10 PM,"Baltimore, MD",Union Station.,1hrs 10mins,11:20 PM
$46.00,http://us.megabus.com/JourneyResults.aspx?originCode=142&destinationCode=289&outboundDepartureDate=6%2f17%2f2014&inboundDepartureDate=&passengerCount=1&transportType=0&concessionCount=0&nusCount=0&outboundWheelchairSeated=0&outboundOtherDisabilityCount=0&inboundWheelchairSeated=0&inboundOtherDisabilityCount=0&outboundPcaCount=0&inboundPcaCount=0&promotionCode=&withReturn=0,"Washington, DC",2014-06-03,MARTA Civic Center - 435 W Peachtree St NW,21:05:21.053000,9:00 AM,"Atlanta, GA",Union Station.,13hrs 0mins,10:00 PM
