fare,deplocation,arrlocation,deptime,arrcity,depcity,duration,arrtime
$6.00,Union Station.,White Marsh Mall (Opp Red Lobster),5:55 AM,"Baltimore, MD","Washington, DC",1hrs 20mins,7:15 AM
$20.00,Union Station.,White Marsh Mall (Opp Red Lobster),8:50 AM,"Baltimore, MD","Washington, DC",1hrs 20mins,10:10 AM
$15.00,Union Station.,White Marsh Mall (Opp Red Lobster),11:15 AM,"Baltimore, MD","Washington, DC",1hrs 20mins,12:35 PM
$15.00,Union Station.,White Marsh Mall (Opp Red Lobster),4:15 PM,"Baltimore, MD","Washington, DC",1hrs 20mins,5:35 PM
$20.00,Union Station.,White Marsh Mall (Opp Red Lobster),6:45 PM,"Baltimore, MD","Washington, DC",1hrs 25mins,8:10 PM
$6.00,Union Station.,White Marsh Mall (Opp Red Lobster),7:25 PM,"Baltimore, MD","Washington, DC",1hrs 20mins,8:45 PM
$6.00,Union Station.,White Marsh Mall (Opp Red Lobster),8:00 PM,"Baltimore, MD","Washington, DC",1hrs 25mins,9:25 PM
$4.00,Union Station.,White Marsh Mall (Opp Red Lobster),9:45 PM,"Baltimore, MD","Washington, DC",1hrs 20mins,11:05 PM
$4.00,Union Station.,White Marsh Mall (Opp Red Lobster),10:10 PM,"Baltimore, MD","Washington, DC",1hrs 10mins,11:20 PM
$44.00,Union Station.,MARTA Civic Center - 435 W Peachtree St NW,9:00 AM,"Atlanta, GA","Washington, DC",13hrs 0mins,10:00 PM
$46.00,Union Station.,MARTA Civic Center - 435 W Peachtree St NW,9:30 PM,"Atlanta, GA","Washington, DC",13hrs 0mins,10:30 AM
$37.00,Union Station.,South Station - Gate 13,8:50 AM,"Boston, MA","Washington, DC",10hrs 45mins,7:35 PM
$50.00,Union Station.,South Station - Gate 13,6:45 PM,"Boston, MA","Washington, DC",10hrs 30mins,5:15 AM
$60.00,Union Station.,Downtown Terminal,8:00 PM,"Buffalo, NY","Washington, DC",11hrs 20mins,7:20 AM
$34.00,Union Station.,S Brevard St outside of Charlotte Trans Ctr,7:20 AM,"Charlotte, NC","Washington, DC",7hrs 50mins,3:10 PM
$34.00,Union Station.,S Brevard St outside of Charlotte Trans Ctr,11:00 PM,"Charlotte, NC","Washington, DC",7hrs 50mins,6:50 AM
$25.00,Union Station.,Falling Branch Park & Ride Exit 118A,9:00 AM,"Christiansburg, VA","Washington, DC",4hrs 45mins,1:45 PM
$27.00,Union Station.,Falling Branch Park & Ride Exit 118A,9:30 PM,"Christiansburg, VA","Washington, DC",4hrs 45mins,2:15 AM
$18.00,Union Station.,Willard St. outside of Durham Station Transportation Center,7:20 AM,"Durham, NC","Washington, DC",4hrs 50mins,12:10 PM
$21.00,Union Station.,Willard St. outside of Durham Station Transportation Center,11:10 AM,"Durham, NC","Washington, DC",5hrs 15mins,4:25 PM
$18.00,Union Station.,Willard St. outside of Durham Station Transportation Center,5:10 PM,"Durham, NC","Washington, DC",5hrs 15mins,10:25 PM
$18.00,Union Station.,Willard St. outside of Durham Station Transportation Center,11:00 PM,"Durham, NC","Washington, DC",4hrs 50mins,3:50 AM
$5.00,Union Station.,Hampton Transit Center - 2 W Pembroke Ave,6:45 AM,"Hampton, VA","Washington, DC",3hrs 55mins,10:40 AM
$14.00,Union Station.,Hampton Transit Center - 2 W Pembroke Ave,11:10 AM,"Hampton, VA","Washington, DC",3hrs 50mins,3:00 PM
$15.00,Union Station.,Hampton Transit Center - 2 W Pembroke Ave,7:55 PM,"Hampton, VA","Washington, DC",3hrs 55mins,11:50 PM
$25.00,Union Station.,Knoxville Transit Center,9:00 AM,"Knoxville, TN","Washington, DC",9hrs 15mins,6:15 PM
$27.00,Union Station.,Knoxville Transit Center,9:30 PM,"Knoxville, TN","Washington, DC",9hrs 15mins,6:45 AM
$22.00,Union Station.,Mountaineer Station - 1112 Van Voorhis Rd,7:10 AM,"Morgantown, WV","Washington, DC",4hrs 30mins,11:40 AM
$24.00,Union Station.,Mountaineer Station - 1112 Van Voorhis Rd,3:10 PM,"Morgantown, WV","Washington, DC",4hrs 30mins,7:40 PM
$15.00,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,5:55 AM,"Newark, DE","Washington, DC",2hrs 20mins,8:15 AM
$15.00,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,11:15 AM,"Newark, DE","Washington, DC",2hrs 30mins,1:45 PM
$15.00,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,7:25 PM,"Newark, DE","Washington, DC",2hrs 20mins,9:45 PM
$10.00,Union Station.,U of Delaware - Parking Lot #6 on Christiana Dr,9:45 PM,"Newark, DE","Washington, DC",2hrs 20mins,12:05 AM
$14.00,Union Station.,30th St Station,5:55 AM,"Philadelphia, PA","Washington, DC",3hrs 35mins,9:30 AM
$37.00,Union Station.,30th St Station,8:50 AM,"Philadelphia, PA","Washington, DC",3hrs 15mins,12:05 PM
$13.00,Union Station.,30th St Station,11:15 AM,"Philadelphia, PA","Washington, DC",3hrs 50mins,3:05 PM
$13.00,Union Station.,30th St Station,4:15 PM,"Philadelphia, PA","Washington, DC",3hrs 25mins,7:40 PM
$37.00,Union Station.,30th St Station,6:45 PM,"Philadelphia, PA","Washington, DC",3hrs 15mins,10:00 PM
$7.00,Union Station.,30th St Station,7:25 PM,"Philadelphia, PA","Washington, DC",3hrs 30mins,10:55 PM
$40.00,Union Station.,30th St Station,8:00 PM,"Philadelphia, PA","Washington, DC",3hrs 20mins,11:20 PM
$7.00,Union Station.,30th St Station,9:45 PM,"Philadelphia, PA","Washington, DC",3hrs 30mins,1:15 AM
$3.00,Union Station.,30th St Station,10:10 PM,"Philadelphia, PA","Washington, DC",3hrs 10mins,1:20 AM
$14.00,Union Station.,30th St Station,11:59 PM,"Philadelphia, PA","Washington, DC",2hrs 51mins,2:50 AM
$5.00,Union Station.,The Plaza at Main Street Station,6:45 AM,"Richmond, VA","Washington, DC",2hrs 20mins,9:05 AM
$18.00,Union Station.,The Plaza at Main Street Station,7:20 AM,"Richmond, VA","Washington, DC",2hrs 10mins,9:30 AM
$14.00,Union Station.,The Plaza at Main Street Station,11:10 AM,"Richmond, VA","Washington, DC",2hrs 20mins,1:30 PM
$21.00,Union Station.,The Plaza at Main Street Station,11:10 AM,"Richmond, VA","Washington, DC",2hrs 15mins,1:25 PM
$9.00,Union Station.,The Plaza at Main Street Station,3:20 PM,"Richmond, VA","Washington, DC",2hrs 40mins,6:00 PM
$18.00,Union Station.,The Plaza at Main Street Station,5:10 PM,"Richmond, VA","Washington, DC",2hrs 15mins,7:25 PM
$15.00,Union Station.,The Plaza at Main Street Station,7:55 PM,"Richmond, VA","Washington, DC",2hrs 20mins,10:15 PM
$18.00,Union Station.,The Plaza at Main Street Station,11:00 PM,"Richmond, VA","Washington, DC",2hrs 10mins,1:10 AM
$40.00,Union Station.,Frank. J Lautenberg Station at Secaucus Junction,8:50 AM,"Secaucus, NJ","Washington, DC",5hrs 5mins,1:55 PM
$37.00,Union Station.,Frank. J Lautenberg Station at Secaucus Junction,6:45 PM,"Secaucus, NJ","Washington, DC",5hrs 5mins,11:50 PM
$60.00,Union Station.,Toronto Coach Terminal - 610 Bay Street,8:00 PM,"Toronto, ON","Washington, DC",14hrs 5mins,10:05 AM
$19.00,SUNY Albany - Collins Circle,7th Ave & 28th St.,7:10 AM,"New York, NY","Albany, NY",3hrs 5mins,10:15 AM
$19.00,Rensselaer Station,7th Ave & 28th St.,7:30 AM,"New York, NY","Albany, NY",2hrs 45mins,10:15 AM
$19.00,SUNY Albany - Collins Circle,7th Ave & 28th St.,10:25 AM,"New York, NY","Albany, NY",3hrs 5mins,1:30 PM
$19.00,Rensselaer Station,7th Ave & 28th St.,10:45 AM,"New York, NY","Albany, NY",2hrs 45mins,1:30 PM
$17.00,SUNY Albany - Collins Circle,7th Ave & 28th St.,7:00 PM,"New York, NY","Albany, NY",3hrs 5mins,10:05 PM
$17.00,Rensselaer Station,7th Ave & 28th St.,7:20 PM,"New York, NY","Albany, NY",2hrs 45mins,10:05 PM
$5.00,SUNY Albany - Collins Circle,7th Ave & 28th St.,9:50 PM,"New York, NY","Albany, NY",3hrs 5mins,12:55 AM
$5.00,Rensselaer Station,7th Ave & 28th St.,10:10 PM,"New York, NY","Albany, NY",2hrs 45mins,12:55 AM
$19.00,SUNY Albany - Collins Circle,R17 Park and Ride,7:10 AM,"Ridgewood, NJ","Albany, NY",2hrs 40mins,9:50 AM
$19.00,Rensselaer Station,R17 Park and Ride,7:30 AM,"Ridgewood, NJ","Albany, NY",2hrs 20mins,9:50 AM
$19.00,SUNY Albany - Collins Circle,R17 Park and Ride,10:25 AM,"Ridgewood, NJ","Albany, NY",2hrs 40mins,1:05 PM
$19.00,Rensselaer Station,R17 Park and Ride,10:45 AM,"Ridgewood, NJ","Albany, NY",2hrs 20mins,1:05 PM
$17.00,SUNY Albany - Collins Circle,R17 Park and Ride,7:00 PM,"Ridgewood, NJ","Albany, NY",2hrs 40mins,9:40 PM
