depcity,arrcity,fare,deplocation,arrlocation,deptime,arrtime,duration,depdate,scrapedate
"Washington, DC","Baltimore, MD",$6.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),5:55 AM,7:15 AM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$20.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),8:50 AM,10:10 AM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$15.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),11:15 AM,12:35 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$15.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),4:15 PM,5:35 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$20.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),6:45 PM,8:10 PM,1hrs 25mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$6.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),7:25 PM,8:45 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$7.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),8:00 PM,9:25 PM,1hrs 25mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$4.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),9:45 PM,11:05 PM,1hrs 20mins,5/28/2014,5/14/2014
"Washington, DC","Baltimore, MD",$4.00 ,Union Station.,White Marsh Mall (Opp Red Lobster),10:10 PM,11:20 PM,1hrs 10mins,5/28/2014,5/14/2014
"Washington, DC","Atlanta, GA",$42.00 ,Union Station.,MARTA Civic Center - 435 W Peachtree St NW,9:00 AM,10:00 PM,13hrs 0mins,5/28/2014,5/14/2014
"Washington, DC","Atlanta, GA",$48.00 ,Union Station.,MARTA Civic Center - 435 W Peachtree St NW,9:30 PM,10:30 AM,13hrs 0mins,5/28/2014,5/14/2014
"Washington, DC","Boston, MA",$35.00 ,Union Station.,South Station - Gate 13,8:50 AM,7:35 PM,10hrs 45mins,5/28/2014,5/14/2014
"Washington, DC","Boston, MA",$35.00 ,Union Station.,South Station - Gate 13,6:45 PM,5:15 AM,10hrs 30mins,5/28/2014,5/14/2014
"Washington, DC","Buffalo, NY",$50.00 ,Union Station.,Downtown Terminal,8:00 PM,7:20 AM,11hrs 20mins,5/28/2014,5/14/2014
